臺中管理處地下水水權狀總表,,,,,,,,,,,,,,,,,,,,
編號,站別,名稱,水權狀號,核准,年限,灌溉面積(ha),引水地點,使用方法,引用水量(cms),每日用水時間(hr),年可引用水量(m³),水井深度(m),引水月份,水系,,,,cmd,,
59 ,日南,日南站六股排水抽水井-日南圳,B1080051,1130101,1171231,3.422651,臺中市大甲區新興段14-31地號,,0.022,12,"346,896.00",50,每月,大安溪,,,,950.4,,
60 ,日南,日南站七號抽水井-九張犁圳,B0108729,1121201,1171130,13.7194,臺中市大甲區九張犁段九張犁小段499-32地號,,0.064,16,"995,328.00",120,2-10月,大安溪,,,,3686.4,,
61 ,日南,日南站八號抽水井-日南圳,B1050044,1130101,1171231,4.3873,臺中市大甲區日南段741-43地號,,0.036,10,"473,040.00",150,每月,大安溪,1月、12月每月引水日數為10日,,,1296,,
62 ,日南,日南站九號抽水井-九張犁圳,B1070150,1120810,1170809,5.878,臺中市大甲區九張犁段九張犁小段834-3地號,,0.0336,14,"618,105.60",150,每月,大安溪,,,,1693.44,,
63 ,日南,日南站十號抽水井-九張犁圳,B1080171,1130101,1171231,9.0677,臺中市大甲區五里牌段378-2地號,,0.057,12,"898,776.00",108,每月,大安溪,,,,2462.4,,
64 ,日南,日南站十一號抽水井-九張犁圳,B1090136,1130101,1171231,3.3826,臺中市大甲區九張犁段九張犁小段311-10地號,,0.021,12,"331,128.00",150,每月,大安溪,,,,907.2,,
65 ,日南,日南站十二號抽水井-日南圳,B1100047,1130101,1171231,4.701364,臺中市大甲區黎明段803地號,,0.019,19,"474,354.00",132,每月,大安溪,,,,1299.6,,
66 ,日南,日南站十三號抽水井-九張犁圳,B1100087,1130101,1171231,6.189,臺中市大甲區五里牌段356-1地號,,0.037,13,"632,034.00",132,每月,大安溪,,,,1731.6,,
67 ,日南,日南站十四號抽水井-九張犁圳,B1120077,1120501,1170430,4.8347,臺中市大甲區雙寮段753地號,,0.039,10.5,"538,083.00",60,每月,大安溪,,,,1474.2,,
68 ,日南,日南站十五號抽水井-日南圳,B1130014,1130118,1180117,1.266956,臺中市大甲區南社段269-33地號,,0.022,4.5,"130,086.00",60,每月,大安溪,,,,356.4,,
69 ,日南,日南站十六號抽水井-九張犁圳,B1130251,1130919,1180918,2.4946,臺中市大甲區九張犁段九張犁小段461-2地號,,0.032,6.2,"260,697.60",80,每月,大安溪,,,,714.24,,
70 ,日南,日南站十七號抽水井-日南圳,B1130250,1130919,1180918,1.379299,臺中市大甲區南社段451-1地號,,0.035,3,"137,970.00",80,每月,大安溪,,,,378,,
71 ,日南,日南站十八號抽水井-九張犁圳,B1140139,1140702,1190701,3.852141,臺中市大甲區建興段845地號,,0.0463,6.5,"395,448.30",60,每月,大安溪,114年7月新增,,,1083.42,,
72 ,大甲,頂店圳一號抽水井,B0118814,1101001,1150930,4.2777,臺中市大甲區甲嘉段541地號,,0.036,10,"473,040.00",100,每月,大安溪,,,,1296,,
73 ,大甲,頂店圳二號抽水井,B0117178,1150802,1200801,4.3625,臺中市大甲區甲惠段577地號,,0.036,10,"473,040.00",100,每月,大安溪,,,,1296,,
74 ,大甲,頂店圳三號抽水井,B0970046,1121231,1171230,9.023439,臺中市大甲區甲嘉段567地號,,0.036,24,"1,135,296.00",120,每月,大安溪,,,,3110.4,,
75 ,大甲,頂店圳四號抽水井,B0990021,1131201,1181130,2.4973,臺中市大甲區甲嘉段562地號,,0.0174,12,"274,363.20",150,每月,大安溪,,,,751.68,,
76 ,大甲,頂店圳五號抽水井,B1020099,1121016,1171015,12.7186,臺中市大甲區甲農段640地號,,0.054,20,"1,419,120.00",108,每月,大安溪,,,,3888,,
77 ,大甲,頂店圳六號抽水井,B1020119,1121021,1171020,9.3507,臺中市大安區安實段577地號,,0.043,18,"1,017,036.00",108,每月,大安溪,,,,2786.4,,
78 ,大甲,頂店圳七號抽水井,B1020100,1121016,1171015,11.1968,臺中市大甲區甲嘉段541地號,,0.04,20,"1,051,200.00",150,每月,大安溪,,,,2880,,
79 ,大甲,頂店圳八號抽水井,B1090091,1140625,1190624,4.1506,臺中市大甲區甲全段632地號,,0.0434,8,"456,220.80",120,每月,大安溪,,,,1249.92,,
80 ,大甲,頂店圳九號抽水井,B1120003,1120109,1170108,4.9521,臺中市大安區三十甲段19-8地號,,0.053,8,"557,136.00",120,每月,大安溪,,,,1526.4,,
81 ,大甲,頂店圳十號抽水井,B1150050,1150427,1200426,3.474588,臺中市大甲區甲全段645地號,,0.035,8,"367,920.00",102,每月,大安溪,115年4月新增,,,,,
82 ,大甲,頂店圳十一號抽水井,B1150051,1150427,1200426,4.0987,臺中市大甲區甲民段463地號,,0.035,10,"459,900.00",102,每月,大安溪,115年4月新增,,,,,
83 ,大甲,頂店圳十二號抽水井,B1150052,1150427,1200426,2.9141,臺中市大安區安行段882地號,,0.035,7,"321,930.00",102,每月,大安溪,115年4月新增,,,,,
84 ,大安,虎眼一圳福興圳支線1號抽水井,B0960027,1110701,1160630,7.1557,臺中市大甲區文曲段472-1地號,,0.07,8,"735,840.00",120,每月,大甲溪,,,,2016,,
85 ,大安,虎眼一圳頂破溪抽水井,B1120200,1120921,1170920,1.594498,臺中市外埔區水美西段344-1地號,,0.0087,14,"160,045.20",100,每月,大甲溪,,,,438.48,,
86 ,大安,虎眼二圳中庄圳支線抽水井,B1140035,1140121,1190120,0.825834,臺中市大安區南勢厝段1地號,,0.046,2.5,"151,110.00",100,每月,大甲溪,114年1月新增,,,414,,
87 ,大安,虎眼一圳頭前溝抽水井,B1140034,1140121,1190120,1.236639,臺中市大安區新三塊厝段4地號,,0.0496,3.5,"228,110.40",100,每月,大甲溪,114年1月新增,,,624.96,,
88 ,大安,虎眼一圳福興圳支線2號抽水井,B1140037,1140123,1190122,1.053895,臺中市大甲區文安段73地號,,0.0441,2,"115,894.80",120,每月,大甲溪,114年1月新增,,,317.52,,
89 ,大安,虎眼二圳草湖圳支線抽水井,B1150057,1150505,1200504,1.211932,臺中市大安區東安段638地號,,0.0402,4.1,"216,573.48",60,每月,大甲溪,115年5月新增,,,,,
90 ,大安,虎眼一圳後壁溝抽水井,B1150095,1150629,1200628,1.55584,臺中市大安區福東段11地號,,0.05,4.2,"275,940.00",100,每月,大甲溪,115年7月新增,,,,,
91 ,大安,虎眼一圳福興圳支線3號抽水井,B1150096,1150629,1200628,1.553411,臺中市大甲區文曲段333地號,,0.044,4.8,"277,516.80",100,每月,大甲溪,115年7月新增,,,,,
92 ,大南,新社圳抽水井,B0113848,1130701,1180630,30.619324,臺中市新社區神木段544地號,,0.047,20,"1,235,160.00",100,每月,大甲溪,,,,3384,,
93 ,大南,白冷圳馬力埔抽水井,B0130292,1111201,1161130,26.1186,臺中市新社區協中段354地號,,0.04,20,"1,051,200.00",100,每月,大甲溪,,,,2880,,
94 ,大南,白冷圳大南抽水井,B1050080,1100701,1150630,31.6568,臺中市新社區大南段大南小段127-50地號,,0.04,24,"1,261,440.00",100,每月,大甲溪,屆期不再申請,,,3456,,
95 ,八寶,太平一圳抽水井,B1060111,1111013,1161012,1.486852,臺中市北屯區大觀段405-1地號,,0.0106,3,"41,785.20",150,每月,烏溪,,,,114.48,,
96 ,八寶,潭子區興龍段279地號抽水井,B1130052,1130220,1180219,0.441783,臺中市潭子區興龍段279地號,,0.0016,24,"50,457.60",300,每月,擴大灌溉服務,農會報,,,138.24,,
97 ,八寶,潭子區興龍段69地號抽水井,B1130145,1130430,1180429,1.348876,臺中市潭子區興龍段69地號,,0.0016,22,"46,252.80",350,每月,擴大灌溉服務,農會報,,,126.72,,
98 ,八寶,潭子區豐興段1282地號抽水井,B1140177,1140819,1190818,0.150032,臺中市潭子區豐興段1282地號,,0.0017,17,"37,974.60",264,每月,擴大灌溉服務,農會報,,,104.04,,
99 ,八寶,豐原區南陽段175地號抽水井,B1150091,1150624,1180623,2.590777,臺中市豐原區南陽段175地號,機械動力抽汲地下水，設水井管徑400公厘鋼管水井1座及出水管徑150公厘、45匹馬力沉水式電動抽水機1台,0.026,12,"409,968.00",138,每月,大甲溪,115年6月新增,,,,,
100 ,大雅,浮圳支線八輪抽水井,B1070161,1120821,1170820,14.180836,臺中市神岡區圳北段867地號,,0.0473,20,"1,243,044.00",150,每月,大甲溪,,,,3405.6,,
101 ,大雅,中央支線九輪區抽水井,B1150066,1150520,1200519,4.77277,臺中市大雅區六雅段1870地號,,0.045,9,"532,170.00",120,每月,大甲溪,115年5月新增,,,,,
102 ,大里,頭汴坑圳一號抽水井,B0130088,1140616,1190615,9.678611,臺中市太平區信平段53地號,,0.038,20,"998,640.00",120,每月,烏溪,,,,2736,,
103 ,大里,頭汴坑圳二號抽水井,B0130087,1140616,1190615,10.999425,臺中市太平區愛平段302地號,,0.038,20,"998,640.00",120,每月,烏溪,,,,2736,,
104 ,王田,王田烏日區高學田抽水井,B1120069,1120425,1170424,0.726075,臺中市烏日區高學田段307地號,,0.017,10,"223,380.00",68,每月,烏溪,,,,612,,
105 ,王田,王田大肚區福德抽水井,B1130072,1130304,1180303,1.730867,臺中市大肚區福德段1地號,,0.021,8,"220,752.00",126,每月,烏溪,,,,604.8,,
106 ,西屯,紅圳三角埤抽水井,B1120251,1121020,1171019,0.69687,臺中市大雅區自立段303-54地號,,0.045,3,"177,390.00",120,每月,大甲溪,,,,486,,
107 ,西屯,光復二號抽水井,B1150080,1150605,1200604,3.963164,臺中市大雅區山德段1203地號,,0.045,6.6,"390,258.00",120,每月,大甲溪,115年6月新增,,,,,
108 ,西屯,光復一號抽水井,B1150081,1150605,1200604,1.655864,臺中市大雅區中和段49地號,,0.045,3,"177,390.00",120,每月,大甲溪,115年6月新增,,,,,
109 ,西屯,紅圳六角亭抽水井,B1150103,1150715,1200714,5.471844,臺中市大雅區科雅段429-4地號,機械動力抽汲地下水，設水井管徑500公厘鋼管水井1座及出水管徑200公厘、50匹馬力沉水式電動抽水機1台,0.045,10,"591,300.00",120,每月,大甲溪,115年7月新增,,,,,
110 ,沙鹿,沙鹿區鹿寮段1000-4地號抽水井,B1130271,1131014,1181013,4.3477,臺中市沙鹿區鹿寮段1000-4地號,,0.036,14,"662,256.00",120,每月,大甲溪,,,,1814.4,,
111 ,沙鹿,梧棲區忠孝段895地號抽水井,B1140143,1140707,1190706,2.4466,臺中市梧棲區忠孝段895地號,,0.0273,7.5,"269,041.50",129,每月,大甲溪,114年7月新增,,,737.1,,
,,,,,,731.668336,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,, ,,,,,,,
